lat,lon,bec_zone,map_label,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,trend_slope,trend_pvalue,trend_class,top_k_years,consistent_core
53.598077,-130.235906,CWH,CWHvh2,0.2919831,0.25936723,0.33060884,0.23174374,0.21289305,0.22793351,0.2456238,0.197441,64.8,51.68000000000001,70.34,66.63,56.26,35.93,55.15,68.33,-0.4785,0.9048611,stable,0,False
49.613402,-125.144423,CWH,CWHxm2,0.08392376,0.15462291,0.02540659,0.016250469,0.18524137,0.97555465,0.27195436,0.059571,40.760000000000005,41.78,25.240000000000002,25.430000000000003,53.349999999999994,91.64999999999999,57.34,49.43,2.9376667,0.17886905,stable,0,False
49.046895,-121.926616,CWH,CWHdm,0.3087774,0.7397158,0.38714007,0.75273114,0.4683926,0.81368315,0.6791318,0.467601,66.27,81.76,73.66,90.35,73.97,72.75,80.55,84.02,1.82375,0.39875993,stable,0,False
52.804672,-126.92152,CWH,CWHws2,0.0054554106,0.0075072944,0.004836969,0.0012348108,0.008671209,0.01218311,0.0135417,0.004688,7.960000000000001,6.68,7.28,3.83,11.91,6.94,16.03,14.69,1.16125,0.27509922,stable,0,False
54.150448,-130.726485,CWH,CWHvh2,0.086193435,0.34532323,0.29867727,0.0077379653,0.58209294,0.7410401,0.2592061,0.134486,41.13,58.10999999999999,68.14,16.98,79.67,67.74,56.19,62.470000000000006,2.45875,0.71954364,stable,0,False
49.539478,-122.023862,CWH,CWHvm2,0.39462742,0.6471661,0.783809,0.5036659,0.5247658,0.9275159,0.9277114,0.615109,71.69,76.42999999999999,91.46,81.36,77.10000000000001,84.09,93.86,89.23,2.4725,0.061011903,increasing,0,False
53.882019,-132.448852,CWH,CWHvh3,0.011545747,0.014726172,0.015413881,0.0041607996,0.07054159,0.33346152,0.06423009,0.033826,14.219999999999999,11.4,18.75,11.200000000000001,36.69,43.28,33.0,40.300000000000004,4.568333,0.108680554,stable,0,False
49.086922,-121.724434,CWH,CWHdm,0.414289,0.56753135,0.43699196,0.6209755,0.6067647,0.8181708,0.6001272,0.224397,72.85000000000001,72.27,76.3,86.28,80.89,73.21,76.91,70.71,-0.094,1.0,stable,0,False
49.450735,-126.312748,CWH,CWHvm1,0.32403615,0.86297464,0.094202414,0.40868205,0.4392392,0.49158472,0.36184925,0.212406,67.24,89.01,46.400000000000006,77.03,72.3,53.080000000000005,63.080000000000005,69.58,-1.3845834,0.71954364,stable,0,False
54.55297,-130.201272,CWH,CWHvh2,0.0026458774,0.0075093443,0.0037261334,0.0041678073,0.0059503755,0.009323331,0.0021766857,0.000897,4.03,6.69,5.82,11.219999999999999,9.04,5.7700000000000005,4.2,2.545,-0.4515,0.39875993,stable,0,False
51.607648,-125.57873,CWH,CWHws2,0.01784751,0.021990553,0.0095000155,0.04695984,0.0137860775,0.11125829,0.014693538,0.003119,18.91,15.1,12.889999999999999,40.11,16.150000000000002,26.32,16.7,10.69,-0.565,0.71954364,stable,0,False
50.448846,-126.862561,CWH,CWHvm2,0.07585868,0.085926466,0.008843095,0.0065339454,0.006743479,0.012252408,0.011499111,0.014036,39.019999999999996,32.34,12.25,15.09,10.08,6.99,14.499999999999998,27.6,-2.4216666,0.27509922,stable,0,False
